TimeStamp,Value,ID
6568.10402833336,0.997508525848389,USLAB000018
6568.10430611114,0.00574835436418653,USLAB000019
6568.10430611114,-0.0613364316523075,USLAB000020
6568.10430611114,-0.0343742109835148,USLAB000021
6568.10458388891,-0.0343745872378349,USLAB000021
6568.10458388891,0.997508645057678,USLAB000018
6568.10458388891,0.00574884191155434,USLAB000019
6568.10458388891,-0.0613336898386478,USLAB000020
6568.10486166669,-0.0343744643032551,USLAB000021
6568.10486166669,0.00574815506115556,USLAB000019
6568.10486166669,-0.0613340958952904,USLAB000020
6568.10513944447,0.997508525848389,USLAB000018
6568.10513944447,0.00574865378439426,USLAB000019
6568.10513944447,-0.0343734212219715,USLAB000021
6568.10513944447,-0.0613362528383732,USLAB000020
6568.10541722225,-0.0343730561435223,USLAB000021
6568.10541722225,-0.0613371953368187,USLAB000020
6568.10541722225,0.00574807962402701,USLAB000019
6568.10569500003,-0.0343710370361805,USLAB000021
6568.10569500003,0.00574828451499343,USLAB000019
6568.10569500003,-0.0613362826406956,USLAB000020
6568.10569500003,0.997508645057678,USLAB000018
6568.1059727778,0.00574772525578737,USLAB000019
6568.1059727778,0.997508704662323,USLAB000018
6568.1059727778,-0.0613350458443165,USLAB000020
6568.1059727778,-0.0343712158501148,USLAB000021
6568.10625055558,0.997508764266968,USLAB000018
6568.10625055558,-0.0343722775578499,USLAB000021
6568.10625055558,-0.0613334663212299,USLAB000020
6568.10625055558,0.00574901653453708,USLAB000019
6568.10652833336,-0.0343730412423611,USLAB000021
6568.10652833336,-0.0613321959972382,USLAB000020
6568.10652833336,0.00575291225686669,USLAB000019
6568.10680611114,0.997508347034454,USLAB000018
6568.10680611114,0.00575249083340168,USLAB000019
6568.10680611114,-0.0343741402029991,USLAB000021
6568.10680611114,-0.0613387823104858,USLAB000020
6568.10708388891,0.00575228966772556,USLAB000019
6568.10708388891,-0.0343747027218342,USLAB000021
6568.10708388891,-0.0613392777740955,USLAB000020
6568.10708388891,0.99750828742981,USLAB000018
6568.10736166669,0.00575279956683517,USLAB000019
6568.10736166669,-0.0343757979571819,USLAB000021
6568.10736166669,0.997508347034454,USLAB000018
6568.10736166669,-0.0613373145461082,USLAB000020
6568.10763944447,0.00575236603617668,USLAB000019
6568.10763944447,0.997508466243744,USLAB000018
6568.10763944447,-0.0343761295080185,USLAB000021
6568.10763944447,-0.0613355711102486,USLAB000020
6568.10791722225,0.99750828742981,USLAB000018
6568.10791722225,-0.0343745686113834,USLAB000021
6568.10791722225,0.00575297512114048,USLAB000019
6568.10791722225,-0.0613394007086754,USLAB000020
6568.10819500003,0.997508347034454,USLAB000018
6568.10819500003,0.0057506300508976,USLAB000019
6568.10819500003,-0.0343724898993969,USLAB000021
6568.10819500003,-0.0613398291170597,USLAB000020
6568.1084727778,-0.0343707427382469,USLAB000021
6568.1084727778,-0.0613409578800201,USLAB000020
6568.1084727778,0.00575009733438492,USLAB000019
6568.10875055558,-0.0343711078166962,USLAB000021
6568.10875055558,0.00575072970241308,USLAB000019
6568.10875055558,-0.0613389350473881,USLAB000020
6568.10875055558,0.997508466243744,USLAB000018
6568.10902833336,0.00575165078043938,USLAB000019
6568.10902833336,0.997508525848389,USLAB000018
6568.10902833336,-0.0343707539141178,USLAB000021
6568.10902833336,-0.0613380037248135,USLAB000020
6568.10930611114,0.00575039302930236,USLAB000019
6568.10930611114,0.997508585453033,USLAB000018
6568.10930611114,-0.0343725867569447,USLAB000021
6568.10930611114,-0.0613361522555351,USLAB000020
6568.10958388892,0.997508227825165,USLAB000018
6568.10958388892,-0.0343725271522999,USLAB000021
6568.10958388892,0.00575170945376158,USLAB000019
6568.10958388892,-0.0613415353000164,USLAB000020
6568.10986166669,0.00575095321983099,USLAB000019
6568.10986166669,-0.0343738198280334,USLAB000021
6568.10986166669,0.997507929801941,USLAB000018
6568.10986166669,-0.0613461174070835,USLAB000020
6568.11013944447,0.997507989406586,USLAB000018
6568.11013944447,0.00575207686051726,USLAB000019
6568.11013944447,-0.0343748778104782,USLAB000021
6568.11013944447,-0.0613443404436111,USLAB000020
6568.11041722225,0.997508227825165,USLAB000018
6568.11041722225,0.00575259048491716,USLAB000019
6568.11041722225,-0.0343758761882782,USLAB000021
6568.11041722225,-0.0613394528627396,USLAB000020
6568.11069500003,0.99750804901123,USLAB000018
6568.11069500003,-0.0343767888844013,USLAB000021
6568.11069500003,0.00575389387086034,USLAB000019
6568.11069500003,-0.0613415725529194,USLAB000020
6568.1109727778,-0.0343759693205357,USLAB000021
6568.1109727778,-0.0613465271890163,USLAB000020
6568.1109727778,0.00575300585478544,USLAB000019
6568.1109727778,0.997507810592651,USLAB000018
6568.11125055558,-0.0343755930662155,USLAB000021
6568.11125055558,0.0057540237903595,USLAB000019
6568.11125055558,-0.0613501146435738,USLAB000020
6568.11125055558,0.997507572174072,USLAB000018
6568.11152833336,-0.0343759320676327,USLAB000021
6568.11152833336,-0.0613465756177902,USLAB000020
6568.11152833336,0.997507810592651,USLAB000018
6568.11152833336,0.00575350457802415,USLAB000019
6568.11180611114,-0.0343753546476364,USLAB000021
6568.11180611114,-0.0613417513668537,USLAB000020
6568.11180611114,0.00575332762673497,USLAB000019
6568.11180611114,0.997508108615875,USLAB000018
6568.11208388891,-0.0613428130745888,USLAB000020
6568.11208388891,0.00575363775715232,USLAB000019
6568.11208388891,0.99750804901123,USLAB000018
6568.11208388891,-0.0343756452202797,USLAB000021
6568.11236166669,0.997507572174072,USLAB000018
6568.11236166669,-0.034375436604023,USLAB000021
6568.11236166669,-0.0613503195345402,USLAB000020
6568.11236166669,0.00575310131534934,USLAB000019
6568.11263944447,-0.0343753695487976,USLAB000021
6568.11263944447,0.997507333755493,USLAB000018
6568.11263944447,0.00575212249532342,USLAB000019
6568.11263944447,-0.0613541193306446,USLAB000020
6568.11291722225,-0.03437440097332,USLAB000021
6568.11291722225,-0.0613521188497543,USLAB000020
6568.11291722225,0.997507512569427,USLAB000018
6568.11291722225,0.00575257558375597,USLAB000019
6568.11319500003,0.997507870197296,USLAB000018
6568.11319500003,0.00575308781117201,USLAB000019
6568.11319500003,-0.0343742370605469,USLAB000021
6568.11319500003,-0.0613464117050171,USLAB000020
6568.1134727778,0.00575310736894608,USLAB000019
6568.1134727778,-0.0613463670015335,USLAB000020
6568.1134727778,-0.0343732573091984,USLAB000021
6568.11375055558,0.997507512569427,USLAB000018
6568.11375055558,0.00575330900028348,USLAB000019
6568.11375055558,-0.0343725420534611,USLAB000021
6568.11375055558,-0.0613525360822678,USLAB000020
6568.11402833336,0.997507333755493,USLAB000018
6568.11402833336,0.00575242144986987,USLAB000019
6568.11402833336,-0.0343714132905006,USLAB000021
6568.11402833336,-0.0613566040992737,USLAB000020
6568.11430611114,-0.0343723148107529,USLAB000021
6568.11430611114,0.00575273670256138,USLAB000019
6568.11430611114,-0.0613523460924625,USLAB000020
6568.11430611114,0.997507572174072,USLAB000018
6568.11458388892,0.00575361913070083,USLAB000019
6568.11458388892,0.997507631778717,USLAB000018
6568.11458388892,-0.0343734622001648,USLAB000021
6568.11458388892,-0.0613507218658924,USLAB000020
6568.11486166669,0.00575093971565366,USLAB000019
6568.11486166669,-0.0343718193471432,USLAB000021
6568.11486166669,-0.0613517798483372,USLAB000020
6568.11513944447,0.00575036508962512,USLAB000019
6568.11513944447,0.997507452964783,USLAB000018
6568.11513944447,-0.0343729704618454,USLAB000021
6568.11513944447,-0.0613540336489677,USLAB000020
6568.11541722225,0.00575058488175273,USLAB000019
6568.11541722225,-0.0343729518353939,USLAB000021
6568.11541722225,0.997507274150848,USLAB000018
6568.11541722225,-0.0613564848899841,USLAB000020
6568.11569500003,0.0057519543915987,USLAB000019
6568.11569500003,0.997507393360138,USLAB000018
